Gender,Age,Study_time,Family_support,Internet_access,Previous_grades,Absences,Extra_classes,Health_status,Final_Grade
F,25,6.9,yes,yes,74.0,16,no,4,Fail
M,21,4.5,no,yes,81.0,8,yes,4,Pass
F,23,7.1,yes,yes,65.8,16,yes,3,Fail
F,23,4.1,no,yes,71.8,7,no,5,Pass
F,17,3.3,no,yes,65.3,1,yes,4,Pass
M,17,5.5,yes,yes,71.7,27,no,2,Fail
M,17,7.2,yes,yes,51.2,23,no,2,Fail
M,18,4.1,yes,yes,100.0,12,yes,1,Pass
M,22,9.4,yes,yes,59.0,2,no,5,Pass
M,20,1.4,yes,yes,64.6,15,no,4,Fail
M,22,4.8,yes,no,57.7,5,no,2,Pass
M,15,9.7,yes,yes,79.2,18,no,5,Pass
M,22,5.9,yes,yes,67.1,29,no,1,Fail
M,18,4.8,yes,yes,55.5,6,yes,3,Fail
F,25,6.1,yes,yes,79.9,9,no,5,Pass
M,15,6.2,yes,yes,81.9,8,no,5,Pass
F,22,7.6,yes,no,69.0,1,no,3,Pass
F,18,2.1,yes,yes,60.0,27,no,5,Fail
F,20,3.3,yes,yes,100.0,27,no,1,Fail
M,22,6.2,yes,yes,75.1,14,yes,1,Fail
M,18,8.8,no,yes,50.9,29,no,3,Fail
M,17,6.1,yes,yes,91.2,4,yes,4,Pass
M,23,3.1,no,yes,57.2,28,yes,2,Fail
F,17,7.1,yes,no,100.0,21,yes,4,Pass
M,23,7.7,yes,yes,71.2,3,yes,5,Pass
M,16,3.1,no,yes,85.2,19,no,2,Fail
M,16,4.4,yes,yes,38.8,3,yes,3,Fail
M,16,5.8,yes,yes,50.7,17,yes,3,Fail
M,20,5.5,yes,yes,90.0,3,no,2,Pass
F,17,4.5,yes,yes,74.8,26,no,1,Fail
M,23,3.7,yes,yes,100.0,16,no,2,Pass
F,18,1.9,yes,yes,77.3,11,yes,5,Fail
M,15,1.5,no,yes,72.2,21,no,1,Fail
F,18,9.6,yes,no,95.7,16,no,3,Pass
M,15,8.6,yes,yes,85.2,9,yes,2,Pass
M,19,4.2,yes,yes,67.1,21,no,4,Fail
F,18,9.6,yes,yes,53.6,0,no,4,Pass
F,22,7.1,yes,yes,34.4,21,no,5,Fail
F,22,5.3,yes,yes,63.4,25,no,4,Fail
M,21,5.4,yes,yes,52.2,23,yes,2,Fail
F,17,1.7,yes,yes,100.0,26,no,2,Fail
M,15,1.8,yes,yes,60.2,17,no,4,Fail
M,15,6.4,yes,yes,59.8,17,yes,2,Fail
F,25,6.0,no,yes,47.2,13,no,5,Fail
F,17,2.9,yes,yes,66.0,14,yes,1,Fail
M,20,9.5,yes,yes,60.0,28,no,5,Fail
M,21,8.0,no,yes,96.1,11,yes,5,Pass
F,20,2.0,yes,yes,72.5,3,yes,2,Pass
F,20,9.4,no,yes,69.9,26,yes,1,Fail
F,20,9.8,yes,yes,68.0,2,yes,2,Pass
M,17,10.0,no,no,81.8,19,no,3,Pass
M,20,1.5,yes,no,63.2,28,yes,2,Fail
M,22,7.6,no,yes,80.0,11,no,2,Pass
M,25,5.9,yes,yes,94.2,6,yes,2,Pass
M,25,7.4,yes,no,76.9,28,yes,1,Fail
M,16,9.7,yes,yes,66.3,10,yes,2,Pass
F,19,7.2,yes,yes,55.7,0,no,1,Pass
M,15,8.5,no,no,65.9,5,yes,4,Pass
M,15,8.8,no,yes,78.4,14,no,3,Pass
M,19,8.5,yes,yes,47.0,14,no,1,Fail
F,17,4.8,no,yes,82.5,18,no,4,Fail
M,18,3.0,yes,yes,73.1,10,no,1,Fail
M,17,4.6,yes,yes,67.8,25,no,1,Fail
F,15,9.0,yes,yes,60.1,22,no,3,Fail
M,15,2.3,no,yes,62.9,25,no,5,Fail
M,19,5.6,yes,yes,79.0,1,no,5,Pass
M,20,3.1,yes,yes,68.1,13,no,1,Fail
M,17,6.2,no,yes,62.5,1,yes,2,Pass
M,23,8.8,yes,no,77.0,28,yes,4,Fail
F,19,8.9,yes,yes,77.6,3,yes,2,Pass
F,22,3.1,yes,yes,51.3,16,yes,2,Fail
F,15,9.2,yes,no,78.6,2,yes,1,Pass
M,19,6.3,yes,yes,100.0,12,no,1,Pass
M,17,4.2,yes,yes,77.0,8,no,1,Pass
